DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
MP136 Percalux Vinho 180g/m2 Bob 1400 mmUNICA-U,10,15/04/2025,10/04/2025,11/04/2025,14/04/2025,15/04/2025,15286,Jafi Decorações,175,0,0,Universo,Cartão,1,17.5,METROS,Sintéticos,COURO
Saco Adesivado 15x24 Aba - Meu Pequeno Cicero,1500,15/04/2025,10/04/2025,15/04/2025,15/04/2025,16/04/2025,10141,Brumar Comercio de Embalagens Ltda,330,0,0,Bela,Boleto,1,0.22,UNIDADES,Embalagens,SACO ADESIVADO
MP427 REBITE FERRO EBERLE - NIQUELADOUNICA-U,50000,12/05/2025,10/04/2025,15/04/2025,28/04/2025,12/05/2025,1121971,Mundial SA Produtos de Consumo,5608.8,0,673.07,Mar,Boleto,2,0.11,UNIDADES,Resto,REBITE
20347 PEVECRON - CEDRO PRETO 180G/M2 BOB 1400 MMUNICA-U,100,08/08/2025,10/04/2025,12/08/2025,13/08/2025,18/08/2025,307260,Magma,2348.56,108.56,268.8,Universo,Pix,1,23.49,METROS,Sintéticos,COURO
20346 PEVECRON - CEDRO VERMELHO 180G/M2 BOB 1400 MMUNICA-U,100,08/08/2025,10/04/2025,12/08/2025,13/08/2025,18/08/2025,52514,Brazão Jóia do Brás Comércio Têxtil Ltda,1690.79,95.79,63.8,Universo,Pix,1,16.91,METROS,Sintéticos,COURO
MP004 ILHOS Nº 54BRANCO-U,10000,05/05/2025,14/04/2025,22/04/2025,28/04/2025,28/04/2025,126908,Castro e Castro,245.9,0,26.83,Mar,Boleto,3,0.02,UNIDADES,Aviamentos,ILHOS
MP004 ILHOS Nº 54PRATA-U,10000,05/05/2025,14/04/2025,22/04/2025,28/04/2025,28/04/2025,126908,Castro e Castro,245.9,0,26.83,Mar,Boleto,3,0.02,UNIDADES,Aviamentos,ILHOS
MP004 ILHOS Nº 54PRETO-U,10000,05/05/2025,14/04/2025,22/04/2025,28/04/2025,28/04/2025,126908,Castro e Castro,245.9,0,26.83,Mar,Boleto,3,0.02,UNIDADES,Aviamentos,ILHOS
MP431 PAPELAO CORTADO 27X38 - COLEGIAL 17X24UNICA-U,22800,05/05/2025,14/04/2025,22/04/2025,30/04/2025,08/05/2025,40256,Papelão União,12087.3,1036.8,,Bela,Boleto,4,0.53,UNIDADES,Papelão,PAPELAO
MP434 PAPELAO CORTADO 29X23.5 - CADERNETA 14X21/9X13UNICA-U,24000,05/05/2025,14/04/2025,22/04/2025,30/04/2025,08/05/2025,40256,Papelão União,11526.03,933.08,,Bela,Boleto,4,0.48,UNIDADES,Papelão,PAPELAO
MP435 PAPELAO CORTADO 36.5X23.5 - ORG.A5/WIRE-O.A5/PLAN17X19.5UNICA-U,12000,05/05/2025,14/04/2025,22/04/2025,30/04/2025,08/05/2025,40256,Papelão União,7253.65,587.21,,Bela,Boleto,4,0.6,UNIDADES,Papelão,PAPELAO
MP437 PAPELAO CORTADO 43X27 - FICHARIO A5/17X24/CAD.OGR17X24UNICA-U,8000,05/05/2025,14/04/2025,22/04/2025,30/04/2025,08/05/2025,40256,Papelão União,6545.88,529.88,,Bela,Boleto,4,0.82,UNIDADES,Papelão,PAPELAO
MP115 Percalux Areia 33 180g/m2 Bob 1400 mmUNICA-U,50,29/04/2025,17/04/2025,24/04/2025,29/04/2025,02/05/2025,22679,Kariplast,665.8,88,0,Universo,Cartão,1,13.32,METROS,Sintéticos,COURO
Percalux Laranja 180g/m2 Bob 1400 mm,5,30/04/2025,24/04/2025,28/04/2025,28/04/2025,28/04/2025,5167,Led Encadernadora,160.24,70.24,0,Universo,Cartão,1,32.05,METROS,Sintéticos,COURO
Percalux Cafe 180g/m2 Bob 1400 mm,5,30/04/2025,24/04/2025,28/04/2025,,30/04/2025,4806,Jafi Decorações,87.5,0,,Universo,Cartão,1,17.5,METROS,Sintéticos,COURO
20336 FERRAGEM A5UNICA-U,5000,26/05/2025,28/04/2025,29/04/2025,14/05/2025,26/05/2025,4747,Naxan,16523.92,273.92,0,Natural,Boleto,3,3.3,UNIDADES,Wire-o,FERRAGEM
20337 FERRAGEM 17X24UNICA-U,5000,26/05/2025,28/04/2025,29/04/2025,14/05/2025,26/05/2025,4747,Naxan,15710.44,260.44,0,Natural,Boleto,3,3.14,UNIDADES,Wire-o,FERRAGEM
PELICA AZUL IOLITA 10129PV 0.23MM,900,12/05/2025,28/04/2025,29/04/2025,27/05/2025,02/06/2025,27417,Buritama Sintéticos,9423,230.62,1570.5,Universo,Boleto,3,10.47,METROS,Sintéticos,COURO
PELICA ROSA ORQUÍDEA T81 02-05/25 0.23MM,1200,12/05/2025,28/04/2025,29/04/2025,27/05/2025,02/06/2025,27417,Buritama Sintéticos,13512.84,307.46,1130.76,Universo,Boleto,3,11.26,METROS,Sintéticos,COURO
MP133 PERCALUX HAVANA 180G/M2 BOB 1300 MMUNICA-U,600,15/05/2025,30/04/2025,02/05/2025,07/05/2025,15/05/2025,27258,Buritama Sintéticos,6408,0,765.36,Bela,Boleto,3,10.68,METROS,Sintéticos,COURO
MP111 PELICA CARAMELO 180G/M2 BOB 1300 MMUNICA-U,400,15/05/2025,30/04/2025,02/05/2025,07/05/2025,15/05/2025,27258,Buritama Sintéticos,4272,0,510.24,Bela,Boleto,3,10.68,METROS,Sintéticos,COURO
MP099 PELICA PRETA 180G/M2 Bob 1300 MM - COR 124UNICA-U,200,30/04/2025,30/04/2025,,,28/04/2025,,Buritama Sintéticos,,,,,,,,METROS,Sintéticos,COURO
MP099 PELICA PRETA 180G/M2 Bob 1300 MM - COR 124UNICA-U,1000,15/05/2025,30/04/2025,02/05/2025,07/05/2025,15/05/2025,27258,Buritama Sintéticos,10470,0,1382.04,Bela,Boleto,3,10.47,METROS,Sintéticos,COURO
MP132 Percalux Verde Bandeira 180g/m2 Bob 1400 mmUNICA-U,50,08/05/2025,05/05/2025,07/05/2025,08/05/2025,08/05/2025,15358,Jafi Decorações,875,0,0,Universo,Cartão,3,17.5,METROS,Aviamentos,COURO
MP099 PELICA PRETA 180G/M2 Bob 1300 MM - COR 124UNICA-U,1000,21/05/2025,05/05/2025,07/05/2025,15/05/2025,21/05/2025,27328,Buritama Sintéticos,11891.3,145.61,1382.04,Bruniel,Boleto,3,11.89,METROS,Sintéticos,COURO
MP111 PELICA CARAMELO 180G/M2 BOB 1300 MMUNICA-U,600,21/05/2025,05/05/2025,07/05/2025,15/05/2025,21/05/2025,27328,Buritama Sintéticos,7682.83,145.61,892.92,Bruniel,Boleto,3,12.8,METROS,Sintéticos,COURO
MP113 PELICA VERDE OLIVA 180G/M2 BOB 1300 MMUNICA-U,500,21/05/2025,05/05/2025,07/05/2025,15/05/2025,21/05/2025,27328,Buritama Sintéticos,5487.74,145.61,637.8,Bruniel,Boleto,3,10.98,METROS,Sintéticos,COURO
MP112 PELICA VERMELHO QUENTE 180G/M2 BOB 1300 MMUNICA-U,400,21/05/2025,05/05/2025,07/05/2025,15/05/2025,21/05/2025,27328,Buritama Sintéticos,5487.74,145.61,637.8,Bruniel,Boleto,3,13.72,METROS,Sintéticos,COURO
MP133 PERCALUX HAVANA 180G/M2 BOB 1300 MMUNICA-U,400,21/05/2025,05/05/2025,07/05/2025,15/05/2025,21/05/2025,27328,Buritama Sintéticos,4390.19,145.61,510.24,Bruniel,Boleto,3,10.98,METROS,Sintéticos,COURO
Papelao 1250 g/m2 1.0mm - 800 x 1000,3000,28/05/2025,05/05/2025,08/05/2025,22/05/2025,28/05/2025,40473,Papelão União,9165.48,719.32,1062.66,Bruniel,Boleto,4,3.06,FOLHAS,Papelão,PAPELAO
MP434 PAPELAO CORTADO 29X23.5 - CADERNETA 14X21/9X13UNICA-U,30000,26/05/2025,06/05/2025,08/05/2025,22/05/2025,26/05/2025,40473,Papelão União,14400.68,1159.48,1712.93,Bruniel,Boleto,4,0.48,CHAPAS,Papelão,PAPELAO
MP434 PAPELAO CORTADO 29X23.5 - CADERNETA 14X21/9X13UNICA-U,36000,17/06/2025,06/05/2025,08/05/2025,22/05/2025,26/05/2025,40473,Papelão União,17280.81,1391.38,2055.57,Bruniel,Boleto,4,0.48,CHAPAS,Papelão,PAPELAO
MP435 PAPELAO CORTADO 36.5X23.5 - ORG.A5/WIRE-O.A5/PLAN17X19.5UNICA-U,30000,26/05/2025,06/05/2025,08/05/2025,22/05/2025,26/05/2025,40473,Papelão União,18125.49,1459.39,2155.98,Bruniel,Boleto,4,0.6,CHAPAS,Papelão,PAPELAO
MP435 PAPELAO CORTADO 36.5X23.5 - ORG.A5/WIRE-O.A5/PLAN17X19.5UNICA-U,36000,17/06/2025,06/05/2025,08/05/2025,22/05/2025,26/05/2025,40473,Papelão União,21991.14,1751.27,2618.3,Bruniel,Boleto,4,0.61,CHAPAS,Papelão,PAPELAO
MP437 PAPELAO CORTADO 43X27 - FICHARIO A5/17X24/CAD.OGR17X24UNICA-U,12000,26/05/2025,06/05/2025,08/05/2025,22/05/2025,26/05/2025,40473,Papelão União,9213.54,790.15,1167.3,Bruniel,Boleto,4,0.77,CHAPAS,Papelão,PAPELAO
